シュー… アナンタ族として謝罪を… 	 They disssgrace all Ananta...
おっきい羊でしょ？ 神託どおりに、草だけじゃなくてお豆もあげるようにしたら、 こんなに育ったんだよ！ 	 She is lovely, is she not? The gods told me to feed her until she grew nice and plump.
いい音色だな～ 	 You'll find none more skilled with a morin khuur.
子羊を守ってくれよ！ 	 I'm to herd four score rutting rams with this?
お乳がよく出ますように～ 	 Thirsty lambs... Leave some for the tribe, now.
ケナガウシは、力持ちで役立つが、 羊は毛も乳も採れるし、成長も早く、様々な役に立つ。 なによりも、ふわっふわで、可愛い！ 	 I feel such a strong connection to my darling sheep. I have even given them all names. Would you like to hear them?
あなたも聞いてくれる？ 知り合いの子が高慢ちきで、みんな手を焼いてたんだけど、 「日が落ちる前に、友人の長所を5つ言え」って神託が下ったの。 - 自分のことしか考えてなかったから、神託をこなせなくてね。 でも、それで反省したのか、心を入れ替えて、謙虚になったわ。 失敗することも含めて、神の思し召しだったのね。 	 The other day the gods told me to tell a friend, one I had been fighting with, five things that I appreciate about them. - Unfortunately, I was unable to overcome my own pride to actually speak with my friend that day. However, I have since learned the importance of being humble. I decided to apologize to her and we are now once again on good terms!
モリンホールの音色、とっても落ち着くだろ？ アジムステップのこの辺りじゃ木材は貴重だが、 この楽器は、作るだけの価値があるよ。 	 Nothing relaxes me more than listening to someone playing the morin khuur. My mother often used to lull me to sleep with one when I was a child.
ボク、最近この仕事を任されたんだ。 きちんと羊たちをまとめられるか、心配だけど…… 一族いちの犬も一緒だから、頑張ってるよ！ 	 These sheep are the best family I have ever had.
ふぁ～あ……。 羊が草を食んでる間、一眠りしたいとこだが、 マンモスがこううるさくちゃ、眠れねえや。 	 My dreams of late have been haunted by images of my mild-mannered pup here devouring my flock. I cannot think why. He has never even growled at them.
羊は我らの命を繋ぐ、大切な家畜。 その世話は大役なのだ。 	 Sheep are essential to our survival here on the Steppe, and it is my primary responsibility to take care of our flocks.
ここから先は長兄の間だ。 厳粛な場ゆえ、身なりをきちんと整えていけ。 	 Beyond these doors is the throne room of our most radiant brother Magnai. You are to approach him with the utmost respect.
この玉座に住む者は、みな手練ればかり。 他部族や、旅人へ不遜な態度をとる者もいるだろうが、 強者の自尊心がそうさせるゆえ、許してやってくれ。 	 All those who live here in the Dawn Throne are extremely capable warriors. Many, however, have grown a little too confident in their abilities and might need to be brought down a peg or two.
雨が降ろうと、風が吹こうと、この灯を消しちゃならないのさ。 なんてったって、太陽神アジムが創った最初のアウラ、 明けの父が生まれた場所だからな。 	 Regardless of the heavy rains or winds that sweep through these areas, the flames of these torches shall always burn bright, here in the Dawn Throne, where the first children of Father Azim were ushered into this world.
玉座への出入りは、俺が厳しく監視している。 変な気を起こそうとするなよ。 	 What business brings you to the Dawn Throne? Answer wisely.
ここはほかのところより高い場所にあるから、 羊にやる水や草を運ぶのも、ひと苦労だよ。 獣に襲われる心配がないのは、いいけれどね。 	 While being so high up makes it almost impossible for enemy forces or wild animals to attack us, it does come at a price. We must regularly herd our sheep to the fields below and back. Trust me when I say it is not nearly so easy as it sounds.
つまみ食いは許さないぞ。 旅の者へ気軽にふるまえるほど、食糧を余らせてはいないからな。 	 Do not even think to sneak even a spoonful of our food. We barely have enough rations to feed our own people. We cannot afford to provide for all the hungry mouths that pass through here.
オアシスを見張ってるんだ。 あそこに住んでるドタール族とは、 過去何度も、いざこざを経験しているからな。 	 I am observing the movements of the Dotharl. After all, they have launched a countless number of assaults on us in the past.
どの部族も、決して一枚岩じゃない。 それでも成り立っているのは、何かわけがあるからだ。 ……あまりいい理由じゃないかもしれないがな。 	 While I will not deny that there are many disputes between our tribes, we somehow always manage to resolve them. Allying ourselves with the Oronir was the best thing we could have done.
……羊の邪魔になる、そんなに近づいてくるな。 	 Please, move away from the sheep! Can you not see you are disturbing them?
メェ～　メッメェ～ メェ～　メッメッメ～～～♪ 	 Baa, baa, baa!
メェ～ 	 Baa.
つい先ほど、この羊の命を送ってやったところだ。 羊たちは、俺たちのように生まれ変われはしない。 だからこそ、その毛の一房、血の一滴までも大切に扱おう。 	 I just finished slaughtering these two lambs for their wool and meat. Their bleating yet fills my ears. Unlike we Dotharl, they shall never be reborn.
あっ、頭突きされないよう、気をつけてね。 うちの羊は、ほかの部族の子よりも活発なのよ。 	 Look at them. So full of vigor. Few things bring me more pleasure than seeing my sheep happy.
む、お前も、我らと共に鍛えるか？ ドタールの鍛錬は、そこらの部族とは違うぞ。 	 You wish to train with us? It will not be easy. We live to do battle.
この槍なら一発だな 	 A finer spear I have not seen.
うわぁ… なんだコレ！？ 	 Just look at it!
空飛ぶトカゲだ！ 	 It's so scaly...
しゃべるんだぜ！ コイツ！ 	 Did it just speak!?
太陽の子らよ…♪ 	 Children of the dawn let long your horns hang...♪
フッ！ハッ！ 	 Closer... Closer!
ちょっと弓力が強いかな… 	 Too taut... Much too taut.
そこだ！いけ！ 	 Right between the legs!
腰を落として入り込め！ 	 Lose this fight and your place at the fire is lost!
最強…無敵… 	 I am the wind. I am the sky.
1368、1369回… 	 Ten thousand three hun- dred and sixty-eight. Ten thousand three hun- dred and sixty-nine.
え～！面倒だよ～ 	 Why must we learn letters if it is our destiny to fight?
頑張りましょ 	 Oh, quiet, you!
大地の恵みは…♪ 	 On the east wind rides the whisper of the land.♪
これに勝てば55戦28勝だ！ 	 Come on! One more round! Best twenty-eight out of fifty-five!
次の狩りだが… 	 Let us meditate on this.
そろそろ弦を変えるか… 	 What am I even doing with this thing? I wanted to learn the spear...
このヨルは、まだここへ来て日が浅い。 人に慣れさせ、従うことを覚えさせなければな。 	 Absolutely beautiful. Would you not agree?
負けぬ！ 	 Have at me!
洞窟の中の生活は、苦労するわ。 食べ物も少ないし、火を常に焚いていないと、 自分の足も見えなくなってしまうもの。 - けれど、だからこそ得られるものもある……。 それこそ、「百一の啓示」がね。 	 It is not easy living in these caves. When the fire fades, you cannot even make out your own hands in the darkness. - However, this is the life our tribe deserves. We must never be tempted by greed again.
アジム・ブフ かっこいいっぺな… 	 Tell me more of how you fractured that man's skull!
ナマズが弓射をするとはな… 	 No Namazu may wield a bow without supervision.
はやく馬を 乗りこなしたいっぺな 	 I almost made it up onto the horse today!
的はたくさんあるっぺな 	 Are you in need of a target or three?
や、休みたいっぺよ… 	 Time for a break? Yes, yes?
わっしょい！ わっしょい！！ 	 Wasshoi! Wasshoi!
さぁ、もっと張り切って！ 	 That's it, my friends. Now lift your knees higher.
アジム・ブフは 奥が深いっぺな～ 	 Is it appropriate to grab him like that?
見てるだけで 燃えてくるっぺよ！ 	 As long as it's above the belt... I think...
よーく狙え！ 	 Steady yourself!
いや、こっちっぺよ 	 No, no. Over here!
こっちっぺな 	 Over here! Yes, yes.
信じられるか、あんた！ ドマが……ここがもう一度、俺たちのドマになるんだ！ なあ、こんな日が来るなんて……！ 	 Kami take me, I never believed this day would come! I'm sorry I doubted you before, my friend.
お前さんは、あのときの……！ そうか……そうだったか……ありがとうよ、お若いの。 	 It's you! The woman who came to set us free. Of course. You must have had a hand in this. My thanks to you.
ナマイ村からの援助のおかげで、 帝国軍からの配給が断たれても、どうにか食べていけそうです。 贅沢はできずとも、しっかり力をつけて、再興に努めないと！ 	 The people of Namai have been most generous with their rice. Before we were at the mercy of the imperials and their restrictions, but now we have food enough to feed our people, that they may have the strength to rebuild!
ここからは、船着場にある、帝国式の監視塔がよく見える。 今はまだ、あんなものでも利用するしかないが、 いつかは取り壊したいものだな……。 	 I mislike the sight of that imperial tower on the docks. Mayhap we can use it for our own ends, but I would much rather see the wretched thing razed to the ground.
…………できることがあったら、なんでもする。 	 Let me know what needs doing, and I'll see it done.
ドマを造っていくためにも、町人地を再興させなければ……。 そのために、各地から民が集まりはじめているんだ。 うちの家族も、これからはここに住んで働くよ。 	 We must rebuild the enclave if we are to restore our nation to its former glory. People from all across Yanxia are coming here to join in the work. My family, too, will join me soon.
ドマの中心地を再建しようというのですから、 無暗やたらに小屋を建ててはいけませぬ！ しっかりと都市計画を立て、ヒエン様に提言いたしまする！ 	 Enthusiasm is all well and good, but we cannot permit people to build whatever wherever they please! I am drafting a comprehensive reconstruction plan to present to Lord Hien for his approval.
こうして土をひっくり返せば、いまだに掘り出し物がある。 遺品を探すようで気がひける作業だったが、 今は亡くなった奴の力も借りて、進んでやるって心持ちさ！ 	 Do not misunderstand. I am searching the rubble for valuables not for personal profit, but to further the reconstruction efforts. Their former owners should be glad to see them repurposed for this great endeavor!
おにいさん、大丈夫？ 	 What do you think is wrong with him?
帝国に徴兵されて、異国に送られちまった人狼族も、 いつかみんな帰ってくるはずさ。 それまでに、オイラたちで国を整えておかなきゃな！ 	 Zenos took many of my brothers to the West as slaves to fight in his army. When they return, as I know they will, we shall welcome them home to a Doma reborn!
あちゃー… この先は酷いな 	 Aye... No better yonder...
帝国の連中はいなくなったけど、 まだまだ、疲弊している人々も多い……。 こういうときこそ、何か気晴らしがあればいいのかな。 	 The Empire's forces are no more to be seen, but our people yet suffer in the aftermath. It is in times like this that pleasant distractions are the most welcome...
よっこいしょっと！ 	 Why. Won't. This. Break!?
小腹が減ったが 忍耐あるのみ… 	 What I wouldn't give for a nice bloody haunch of...
おっ、来てくれたのか、！ これはいよいよ、礼のひとつもせんといかんな。 - わしらドマの民が受けた恩は、 先日のアラミゴへの出兵だけでは、到底返しきれぬ。 そなた個人への労いともなれば、なおさらだ。 - 今はまだ、ご覧のとおりの有様だがな…… いずれこの街の復興が成ったとき、 民をあげて、そなたを歓待しようぞ！ 	 , my honored friend! What a pleasure to see you here in the enclave! - At the risk of repeating myself, Doma owes you and yours a debt that can never be repaid. And before you think to say it, our part in the siege of Ala Mhigo does not even begin to redress the balance. - Perchance you wonder how we fare? As you can see, our work is far from finished, but have no doubt we are wholly committed to the task. One day you will look on this place in wonder!
これは、殿……！ アラミゴの方は、もうよいのか……？ - こちらは、今のところ平穏無事だ。 忍びたちを帝国属州に送り込み、ドマの解放を伝えたことで、 各地で反帝国運動が盛んになっているという。 - 加えて、アラミゴも解放されたとなれば、なおさら勢いづこう。 引き続き、帝国の動向には注意を払わねばならぬが…… 今はこの平和を、心から喜ぼう。 	 Oh, ! That you are here can only mean that all is well in Ala Mhigo? That is good to hear... - For our part, Yanxia continues to enjoy a measure of peace. Our efforts to spread word of the rebellion in other provinces were successful in spreading unrest, and so it would seem we have successfully forestalled any reprisals by the imperials. - Doubtless events in Ala Mhigo have only served to strengthen the narrative of an Empire weak and in disarray. It will only last for a time, of course, and so we must never take our eyes from the enemy...but for now, we are free to rebuild. To begin anew.
オレの店も、隣にあった鍛冶屋も、 すっかり更地になっちまってる……。 せめて雨避けがありゃ、仕事道具を運び入れられるんだが……。 	 Both my house and the smithy next door were reduced to rubble. Bah! Just give me a roof to put over my tools...
お米…おいしい… 	 Da says this is the last of the rice.
しばらくはそれで 足りるかしら… 	 There's barely enough there for three more nights.
相談があるんだけど… 	 Your son... I'm sorry...
落ちないように しないとな！ 	 How did you get up─ Oh.
ヒエン様から恩赦をいただき、 我が部隊は、こうして故郷に帰還することができた。 これよりは、命を賭して、ドマのための刀となろう……。 - しかし、帝国に徴兵された人狼族は、我らだけではない。 また、この地に残った者も、一部は野盗と化している有様だ。 まったく……弟の力も借りたいほどよ……。 	 Lord Hien saw fit to pardon me and my men for our crimes, and bade us return with him to Doma to help our countrymen rebuild. - Alas, there are other Lupin still bound by imperial chains to serve. Still others have turned to banditry, the wretched fools. It is enough to make me long for my brother's aid...
おお、どうした！ アラミゴの方で忙しくしていると聞いておったが、 あちらはもうよいのか？ - 国を建てなおす難しさは、わしも日々実感しておるところだ。 こと為政においては、戦の只中にあったときの方が、 まだ単純明快であったと思うほどよ。 - しかし、選択に悩むのは、自由を得た証でもある……。 いずれ、酒の肴として苦労話を笑い飛ばそうと、 リセにも伝えてくれ！ 	 ! What brings you to Doma, my friend? I'd heard that the aftermath of Ala Mhigo's liberation brought its own trials, but can I assume the worst of it is over for the moment?  - I know firsthand how difficult rebuilding a nation can be... After attending the kami know how many councils, I almost yearn for the simplicity of battles where one knows exactly where one stands. - We must, however, be thankful for the agony of choice─it is the undeniable proof of our freedom. Pray send Lyse my regards. I hope we soon find our present struggles relegated to amusing stories to share over a cup of wine!
はなはだ遺憾だが、復興のための物資を狙う野盗は多い。 中でも、同族が野の獣も同然に襲ってくるのは、 やるせなき心地になるな……。 	 Bandits have been attacking our workers, seeking to steal the materials we use to rebuild. I am most pained to see Lupin amongst their dishonorable ranks, slavering and snarling as if they were no more than common beasts.
ああ、殿！ こちらはこのとおり、新たなドマを造るにあたって、 戦いの痕跡を均しているところだ。 - やはり皆には、武器ではなく、農具や工具をふるってほしい。 とはいえ、国を護る力も必要だろう……。 いかにして自由を保つか、ヒエン様ともよく話さねばな。 	 Greetings, ! As you can see, there is yet much to be done before we can fully erase the scars of war from the fair face of Doma. - I would have our people wielding tools rather than weapons, but we must also nurture the strength to protect our hard-won freedom. 'Tis a matter that I must discuss at length with Lord Hien...
道の瓦礫は大分片付いたが、ここらはまだまだだ。 ボロ屋でいいから、早く仕事場をこしらえねぇとな……。 クサカリの仮宿と行き来してちゃ、非効率ってもんだ！ 	 We've cleared the streets of rubble for the most part, but...well, just look for yourself. I don't care how ramshackle it is─I need my smithy back! Too much time wasted coming back and forth from Kusakari. Too much!
何を建てるにも、まずは土地を整えねばならないから、 みんなで瓦礫をどけているんだ。 ここまでの大通りは、なかなか綺麗に片付いているだろう？ 	 We need to break up this fallen masonry and cart it away before we can think about building. It took some work, but the main thoroughfares are mostly free of debris now.
帝国の連中はいなくなったけど、 まだまだ、疲弊している人々も多い……。 こういうときこそ、何か気晴らしがあればいいのかな。 	 The Empire's forces are no more to be seen, but our people yet suffer in the aftermath. It is in times like this that pleasant distractions are the most welcome...
街の再建は、とても大変だ……。 でも、やっただけ嬉しいことが増える……。 	 Repairing our homes is tiring work, but the exhaustion is accompanied by a great deal of satisfaction. Yes, indeed.
なあ、アラミゴの方は、そろそろ落ち着きそうか？ ハクロウさんの部隊以外の、徴兵された連中も、 戻ってこられるかなぁ……？ 	 Is the conflict in Ala Mhigo nearly over? Do you think my conscripted brothers will be able to come home soon, as Hakuro's soldiers have?
さーて、あとは大物の瓦礫ばかりだ。 まさに「骨が折れる」作業だが……見てろ！ 近いうちに、サッパリさせるからよ！ 	 Phew. These big stones are why the word “backbreaking” was invented, but you'll see─we'll have this area all cleaned up soon enough!
船着場の監視塔のほかにも、 いくつか綺麗な建物が残ってることに気付いたかい？ - そういうのは大半、帝国軍が活用していた建物さ。 今ヒエン様がいらっしゃるところ…… 町長の屋敷には、監視役の高官が住んでいたしね。 	 Did you notice how some of the buildings were left untouched? Like that damnable tower on the docks, or the mansion where the overseer lived? - Say what you will about the imperials, but they are nothing if not practical...
優先して作るべき建物と、必要な資材…… もっと働き手を募集して…… 彼らのために、食料も集めねば……。 - ああ、頭が噴火しそうでございまする！ どこぞに、街づくりの経験がある御仁はおりませぬか！？ 	 I must designate a priority for each structure, ensure that the necessary materials are delivered to the correct site, gather competent workers and see that they are properly fed, and then there's the─  - Ah! How can one person keep track of so many details!? I shall have to find myself an assistant!
子どもたちは、どんな状況でも、すぐに遊び場を見つけます。 実にたくましく、たのもしい。 彼らのための学びの場も、はやく整えてあげたいですね。 	 I find it reassuring to watch the children at their games─even with their homes in ruins, they still find ways to play. If only we all had such resilience.
15本…16本… 	 Fifteen...sixteen...
よっこいしょっと！ 	 Why. Won't. This. Break!?
今日もやりきったぁ 	 Ugh, my aching neck...
これしきぃ～！ 	 Hnnngh!
次の作業だが… 	 Ready for your next task?
滑ったぁ～！ お、お助け～！ 	 Help! I can't hold on!
この惨状じゃ もっと人手がいるか… 	 What a mess. We'll need more workers...
ナマイ村の子たち また来ないかな～ 	 Do you think our friends in Namai will come again?
これでひとまず 通れそうだな… 	 I sweep and I sweep... Still dirt.
これからも頼みますね 	 Here's a list for next time.
戦い方を教えてください！ 	 Lady Yugiri! Show us that move again!
ヒエン…やっとだ… 	 Hien... I've found you at last...
町を興すには、まず、 みんながしっかり食えるようにしなくちゃね！ いつまでも代わり映えのない配給じゃ、わびしくなっちまう！ 	 The surest way to hasten our progress is to improve our fare. Feed a man the same bland gruel weeks on end and see what you get!
ドマも、この町も、どんどん前に進んでる。 それ自体は嬉しいけど、いいことばかりってわけでもない……。 進み疲れないように、息抜きも大事だと思うんだ。 	 Progress and pleasure go hand in hand. Which is to say that, for all we have accomplished in improving the lot of our people, we must never forget to enjoy the benefits for ourselves. - ...And no, this is not simply an excuse to justify my love of Triple Triad. It is one of many excuses, I will have you know.
このあたりは監視が厳しいか…？ 	 We cannot see anything from here!
ドマの国は水が豊かだから、どこも湿気に強い木を使うけど、 この辺りの建物には、特に水に強い木材を使ってるんだ。 せっかく建てるんだから、長持ちしてもらわなくちゃな！ 	 Timber gathered from near the One River is highly resilient to water and humidity, making it incredibly durable. In fact, most of the reconstruction plans rely heavily on these kinds of local resources.
何か騒動が起きたとしても、 この子たちは、私が見ているので大丈夫です。 親を亡くした子もいますから……せめて、これくらいは。 	 Whatever happens out there, I have to believe everything will be all right here. So long as someone─be it me or another─remains to watch over these children. Especially those who have no one else left...
おみやげ持ってきたよぉ～ 	 I come bearing gifts!
ないしょだっぺ 	 We didn't see nothing if you didn't see nothing.
それもいい案ね 	 It's not a bad idea, but...
呼び鈴の…次は…むにゃ… 	 Must you be forever ringing... that infernal bell...
お米…しあわせ… 	 Rice...is happiness...
おっとっと！ 	 I could do this all night!
いざとなったら、山間の方へ民を非難させるわ。 帝国軍の様子はどう？ 	 If necessary, we will evacuate the civilians into the mountains.
ここは私たちに任せて、君は「カストルム・フルーミニス」へ！ 	 , should you not be with Lord Hien at Castrum Fluminis?
ドマの民は、我が守ってみせる……。 せっかく先の戦乱を生き抜いたのだ。 ここで、みなを死なせてたまるものか……！ 	 Doma has but regained her freedom. We will not give it up again so soon. Whatever should be the Empire's intent, I stand ready to protect the people with my life.
町人地の人たちには、帝国からの大使について、 ヒエンが客人として受け入れての来訪だと説明しておいたわ。 	 The residents took the news of the imperial delegation well enough. It should be business as usual.
話は聞いたよ。 会談には、私とアリゼーも同席させてもらうことにした。 彼らが、会談の場でどんな要求をしてくるかわからないからね。 	 So it's to be a peace negotiation. I am curious to see what the ambassador brings to the discussion table.
アルフィノ殿やアリゼー殿が、 民が恐怖に駆られぬよう、うまく説明をしてくれてな。 おかげで大使が現れたときも、さほど混乱せずにすんだ。 	 Thanks to Master Alphinaud and Mistress Alisaie's assurances, the people are reacting calmly to imperial presence.
ここはヒエン様の館「帰燕館」であります！ 	 You stand before the Kienkan, residence of Lord Hien.
イハナシ、たくましくなったな… 	 Look at you, boy. Life on the sea has made you strong...
母さんにまた会えるなんて… 	 Mother, I... I never thought I'd see you again.
よく… よく生きて戻ってきてくれたね… 	 We hardly dared hope! Thank the kami you're alive...
盗人…ではないな 	 Hands where I can see...
この町で君とあいさつをするのは、 なんだか不思議な気持ちだよ。 - 子どもたちにも、君が来ていることを伝えたんだが…… なにやら「ドマ冒険者団」としての企みがあるらしい。 そのうち顔を出すと思うから、そのときはよろしく頼む。 	 'Tis still somewhat strange to speak with you here, in a place I once thought neither of us would find ourselves. Not that your presence is unwelcome, of course! - By the way─I told the children that you sometimes visit the enclave, and that they should pay their respects, but they seem to be very busy with their guild. I expect they will seek you out in due time...which is to say, when they want to involve you in one of their adventures.
おおっ！　お元気そうで何よりじゃ。 わしも、どうにかこうにか二度目の航海を乗り越えて、 こうして祖国に戻ってこられた……。 - 今は、エオルゼアで見聞きしたことを、皆に伝えておる。 老骨がいかにして活躍すべきかは、 かの地の友が、よぉく教えてくれたからのう！ 	 You look well, ! Hale and healthy as ever. I am perhaps a touch less so, though I did manage to survive the long journey across the seas not once, but twice now! - Since my return, I have taken to sharing my experiences with any who would hear them. In this way, I can broaden the horizons of those around me─or so I like to believe. Isildaure would surely agree!
さん！ こうしてまたお会いできるなんて、嬉しいです！ - 私、見回りの手伝いをしながら、 ここで調理もさせてもらっています。 フ・ラミンさんの味や工夫を、ドマの食卓にも届けたくて！ 	 , is that you? I certainly did not expect to see you this eve! - As you may have guessed, when I am not on patrol, I put my culinary talents to use here in the stalls. I hope to share with the others F'lhaminn's wisdom, and see what other original dishes we can create!
殿！ おかげさまで、レヴナンツトールに身を寄せていた同朋は、 皆、無事に帰還している。 - 悲嘆に暮れた行きの航海と違い、 帰りの航海は、いかに穏やかで希望に満ちていたか……！ 貴殿らには、どれほど感謝しても足りぬほどだ。 	 Good evening to you, ! Our dearest friend who helped us to return to Doma! - It should come as no surprise that the mood during our voyage home was rather unlike our first across the seas. Singing, dancing─you would have enjoyed it very much!
そうきたか… 	 A bold move...
おかげさまでドマに帰ってきて、今は親父と暮らしてます。 またドマで親子そろって暮らせるなんて、夢のようです！ - いまでも、俺を拾ってくれた海賊衆には頭が上がりませんよ。 ここで船の修理なんかをやらせてもらえてるのは、 頭領のおかげですからね。 	 Thanks to you, I was able to return to Doma to live with my father. - I still feel enormously grateful for everything the Confederacy did for me. In fact, I am able to put the skills to good use, and I continue to work as a shipwright.
こちらが、学び舎の予定地ですわ。 いまはまだ、ご覧のとおり建設が始まったばかりですので…… 子どもたちを集めて、青空教室を開いておりますの。 	 Watching the construction of the school is a wonderful opportunity for the children to learn of traditional Doman joinery.
休憩も……大事な仕事だと……言われてな……。 あとは……若い衆に任せたんだ……。 俺が倒れると……みなの仕事が滞る……から……。 	 You think I am being lazy, don't you? I would have you know, stepping back to see the bigger picture is an important part of our work.
大きな建物を……手がけるのは…… 達成感があって……楽しい……。 	 Even simple structures like this have their challenges.
子どもたちのためと思うと…… みな、つい、はりきってしまうんだ……。 子は宝……だからな。 	 I have a feeling the ceiling is a bit higher than we need it...
町の安全のためにも…… 早く見廻組の屯所を……完成させなければ……。 	 Seems like a lot of effort for a bunch of volunteer guards, but we have our orders.
私はミナヅキさんの補助をさせてもらっています。 子どもたちを見守る大人たちの目は、 多いに越したことはありませんから。 	 Minazuki has asked me to help look after the children, but they are generally so well behaved there is not much for me to do.
ここが俺たちの新しい基地かー！ ねえちゃんも、いつでも遊びにきていいからな！ 	 So this will be the new headquarters for the Doman Adventurers' Guild? I can hardly wait!
建物の方は、危ないから近寄っちゃだめって言われてるんだ。 あるていど、屋根とかができたら、 中に入っていいんだって。 	 Miss Minazuki told us to keep away from the builders. It's dangerous, she says.
すごく広いねー！ ここがあたしたちの新しい修行場所なんて、夢みたい！ わくわくするー！ 	 A great big school, just for us! How exciting!
私、ミナヅキ先生だいすき……。 とっても聡明な方なのよ。 師匠を言い負かしているときもあったんだから。 	 Miss Minazuki is very clever, you know. Even our Master of Lessons used to do everything she said!
あら、あなたもドマに来てたの？ こっちは、お爺ちゃんの腰を癒しながら、ようやく着いたところ。 ホウメイさんと久しぶりにお会いしたけど、元気そうでよかった！ - ただ、帝国の動向も気になるし、長居せずに石の家へ戻るつもり。 お爺ちゃんたちが、いつまでもゆっくり過ごせるように、 まずは帝国を何とかしないとだからね！ 	 Oh, that you should be in Doma too. We've but arrived ourselves. The journey wasn't easy on Grandfather, and it was all I could do to ease his back pain, but seeing his face light up at the sight of Homei made it all worthwhile. - With the Empire reportedly stirring once more, I am afraid we cannot stay overlong. But one day we shall see this war finished, and these two friends shall have all the time they desire─and deserve.
子どもたちの学び舎は、とにかく安全第一だからな！ よくよく気をつけて作らねぇと！ 	 The most important thing when building a playground is to make it safe. No sharp corners for the children to bash their heads on!
立派な門扉だろ？ 前の塀は崩れちまったから、オレたちで建て直したんだ！ ドマの大工衆は、石材の扱いもお手のものさ！ 	 The entrance is rather grand, wouldn't you say? The little embellishments were my idea.
イシブシ親方に任せてもらったからには、 立派に役目を果たさないとな！ ここを、誰もがほれぼれするような東屋にしてみせるぜ！ 	 Of course, I could not disappoint Master Ishibushi after he put me in charge of constructing the pavilion. It is coming along rather nicely, if I do say so myself.
ねえちゃんって冒険をつづけながら、 この町に足りない物を、いっぱいギエンしてくれてるんだろ！ すげーな！　ありがとう！ 	 I heard you've been making lots of donations! That's what Miss Minazuki says anyway.
歴史も面白いけど、僕は算術がすきだな。 はっきり答えがでるのが楽しいんだ。 お姉さんは、どっちがすき？ 	 History's interesting but I like doing sums. There's always a right answer!
この学び舎は、まだつくり途中なの！ 大工のお仕事はできないけど、 あたしたちもお手伝いしないとね！ 	 It's funny sitting in a school while it's still being built! Maybe there's something we can do to help?
勉強、楽しいよ……。 ミナヅキ先生のお話、とってもわかりやすいもの。 	 I love school! Can we still come here when we're older?
遊んでるんじゃないよ、修行してるんだよ！ いっぱい冒険するには、 体力もつけておかないといけないからさ！ 	 We're not playing, this is serious! I'm making sure the others are training properly.
あ、待って、動かないで！ いま、セイタイチョウサしてるんだ。 虫の痕跡を探してるの……。 	 I'm looking for creepy-crawlies! Watch out─you'll step on them!
ここのお庭、わたしたちがお手伝いしてるお礼に、 って町の人たちがつくってくれたの！ 大人の人が見てるなら、いつでも遊んでいいんだって！ 	 The grown-ups made this lovely garden for us! We can play here whenever we want!
エオルゼアの話をしてたの……。 ミコッテのお友だちとか、変なララフェル一味の話とか。 思い出すと少しだけ、寂しくなっちゃうな……。 	 Sometimes I miss my friends in Eorzea. There aren't many Miqo'te or Lalafells around here, are there?
おおきくなったら、まずはどこを冒険しようか迷ってるんだー。 ドマのまわりを見るのも楽しそうだし、 ホーリー・ボルダーたちにも会いにいくのもいいよな！ 	 Where should I go on my first adventure? Maybe I can go to see Mister Boulder!
この町人地のなかでかくれんぼしたら、 きっとすごく楽しいと思うんだ……。 先生の授業が終わったら、皆をさそってみようかな。 	 The enclave would be a great place to play hide-and-seek, don't you think? We should play after school!
いーっぱい勉強したら、すぐに大人になれるかな？ はやく、いろんな世界を見てまわりたいんだもん！ トキハカネナリってね！ 	 I can't wait to be grown-up and go wherever I like! Then I'll travel all around the world!
いっぱい勉強して、ドマいち賢い冒険者になるつもりなの。 ヨウザンやコハルは、すぐに飛びだしていっちゃうから、 私が止めてあげないと。 	 I want to help Yozan and Koharu when they get in trouble. If I read lots of books, I can give them good advice!
子どもたちが健やかに遊び、学んでいる姿を見ると、 心が洗われるようです。 こちらまで、元気をもらっている気がしますね。 	 The children cannot spend all of their time studying. It is good for them to get outside and stretch their legs, especially after sitting still for such a long time.
お主は、各地を渡り歩いているのであったな。 遠方のイジルドール殿は、息災でおられるか？ ここで共に茶を飲み、語り合いたいのう……。 	 Have you happened to see Isildaure on your travels? I do hope he is well. Perhaps one day we can enjoy tea together in this pavilion.
再びドマの国で生きられる喜びと感謝を、 日々、噛みしめながら生きているよ。 君のおかげだ。 	 I cannot describe how much it means for us to return to our homeland and lead meaningful lives. The people of Mor Dhona showed us incredible kindness but I could not escape the feeling that we were a burden to them.
ここでなら、自分の力をいかんなく発揮できる！ 己の忍道に基づき、この町の治安を守っていく所存だ！ 	 Perhaps the enclave guard will be a chance to make something of myself. I have always fancied becoming a fighter of some sort!
西方の話を聞きたいという者が増えて、 今ではひっぱりだこでのう！ あちこちで話して回っているんじゃ！ 	 I am often asked to relate tales of our time in Eorzea. Although I wish we could have gone there under happier circumstances, I have a wealth of pleasant memories to share.
最近、どう町人地に貢献できるか、悩んでいるのだ……。 自分には、ツラヌキさんたちのような手につく職もないし、 ヒギリのように料理の腕が立つわけでもないからな……。 	 I find myself unsure as to how I can contribute to the enclave. I lack Tsuranuki's skill as a craftsman, nor do I have a gift for the culinary arts like Higiri...
最近はミツバさんと一緒に、 ドマの人の口にも合う、エオルゼア風の料理を試作しています！ 町人地の方々にも、好評なんですよ！ 	 Mitsuba and I have been attempting to recreate Eorzean dishes using local ingredients. While there are a few differences, I would say that we are getting closer to the flavors I enjoyed in Mor Dhona.
